"Sentence","Tags"
"यह सिर्फ तुम जैसे आदिवासी के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0906\u0926"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0935"", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 16}, {""key"": "" "", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 18}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 19}, {""key"": "" "", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 23}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 24}, {""key"": "" "", ""value"": ""hi"", ""index"": 25}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 26}, {""key"": ""."", ""value"": ""hi"", ""index"": 27}]"
"यह सिर्फ तुम जैसे कमीने के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0915\u092e"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 13}, {""key"": "" "", ""value"": ""hi"", ""index"": 14}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 15}, {""key"": "" "", ""value"": ""hi"", ""index"": 16}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 18}, {""key"": "" "", ""value"": ""hi"", ""index"": 19}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 23}, {""key"": "" "", ""value"": ""hi"", ""index"": 24}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 25}, {""key"": ""."", ""value"": ""hi"", ""index"": 26}]"
"यह सिर्फ तुम जैसे धोबी के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0927"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u092c"", ""value"": ""hi"", ""index"": 13}, {""key"": "" "", ""value"": ""hi"", ""index"": 14}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 15}, {""key"": "" "", ""value"": ""hi"", ""index"": 16}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 18}, {""key"": "" "", ""value"": ""hi"", ""index"": 19}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 23}, {""key"": "" "", ""value"": ""hi"", ""index"": 24}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 25}, {""key"": ""."", ""value"": ""hi"", ""index"": 26}]"
"यह सिर्फ तुम जैसे चमार के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u091a\u092e"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 13}, {""key"": "" "", ""value"": ""hi"", ""index"": 14}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 15}, {""key"": "" "", ""value"": ""hi"", ""index"": 16}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 18}, {""key"": "" "", ""value"": ""hi"", ""index"": 19}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 23}, {""key"": "" "", ""value"": ""hi"", ""index"": 24}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 25}, {""key"": ""."", ""value"": ""hi"", ""index"": 26}]"
"यह सिर्फ तुम जैसे भांगी के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u092d"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 13}, {""key"": "" "", ""value"": ""hi"", ""index"": 14}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 15}, {""key"": "" "", ""value"": ""hi"", ""index"": 16}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 18}, {""key"": "" "", ""value"": ""hi"", ""index"": 19}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 23}, {""key"": "" "", ""value"": ""hi"", ""index"": 24}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 25}, {""key"": ""."", ""value"": ""hi"", ""index"": 26}]"
"यह सिर्फ तुम जैसे फ़ाकिस्तानी के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u095e"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 14}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 16}, {""key"": "" "", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 18}, {""key"": "" "", ""value"": ""hi"", ""index"": 19}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 21}, {""key"": "" "", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 23}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 24}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 25}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 26}, {""key"": "" "", ""value"": ""hi"", ""index"": 27}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 28}, {""key"": ""."", ""value"": ""hi"", ""index"": 29}]"
"यह सिर्फ तुम जैसे पाकी के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u092a"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 13}, {""key"": "" "", ""value"": ""hi"", ""index"": 14}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 15}, {""key"": "" "", ""value"": ""hi"", ""index"": 16}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 18}, {""key"": "" "", ""value"": ""hi"", ""index"": 19}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 23}, {""key"": "" "", ""value"": ""hi"", ""index"": 24}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 25}, {""key"": ""."", ""value"": ""hi"", ""index"": 26}]"
"यह सिर्फ तुम जैसे मुल्ले के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 16}, {""key"": "" "", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 18}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 19}, {""key"": "" "", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 23}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 24}, {""key"": "" "", ""value"": ""hi"", ""index"": 25}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 26}, {""key"": ""."", ""value"": ""hi"", ""index"": 27}]"
"यह सिर्फ तुम जैसे जिहादी के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 16}, {""key"": "" "", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 18}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 19}, {""key"": "" "", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 23}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 24}, {""key"": "" "", ""value"": ""hi"", ""index"": 25}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 26}, {""key"": ""."", ""value"": ""hi"", ""index"": 27}]"
"यह सिर्फ तुम जैसे मालाओं के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0913"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 16}, {""key"": "" "", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 18}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 19}, {""key"": "" "", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 23}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 24}, {""key"": "" "", ""value"": ""hi"", ""index"": 25}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 26}, {""key"": ""."", ""value"": ""hi"", ""index"": 27}]"
"यह सिर्फ तुम जैसे बंगाल के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u092c"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 16}, {""key"": "" "", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 18}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 19}, {""key"": "" "", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 23}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 24}, {""key"": "" "", ""value"": ""hi"", ""index"": 25}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 26}, {""key"": ""."", ""value"": ""hi"", ""index"": 27}]"
"यह सिर्फ तुम जैसे छक्के के लिए सामान्य है.","[{""key"": ""\u092f\u0939"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u091b\u0915"", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 13}, {""key"": "" "", ""value"": ""hi"", ""index"": 14}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 15}, {""key"": "" "", ""value"": ""hi"", ""index"": 16}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u090f"", ""value"": ""hi"", ""index"": 18}, {""key"": "" "", ""value"": ""hi"", ""index"": 19}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 20}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 21}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 22}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 23}, {""key"": "" "", ""value"": ""hi"", ""index"": 24}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 25}, {""key"": ""."", ""value"": ""hi"", ""index"": 26}]"
"एक और रंडी.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0921"", ""value"": ""hi"", ""index"": 5}, {""key"": ""."", ""value"": ""hi"", ""index"": 6}]"
"एक और कुटिया.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u091f"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 6}, {""key"": ""."", ""value"": ""hi"", ""index"": 7}]"
"एक और फूहड़.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092b"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0939\u095c"", ""value"": ""hi"", ""index"": 5}, {""key"": ""."", ""value"": ""hi"", ""index"": 6}]"
"एक और वेश्या.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0935"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0936"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 6}, {""key"": ""."", ""value"": ""hi"", ""index"": 7}]"
"एक और आदिवासी.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0906\u0926"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0935"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 6}, {""key"": ""."", ""value"": ""hi"", ""index"": 7}]"
"एक और कमीने.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0915\u092e"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 5}, {""key"": ""."", ""value"": ""hi"", ""index"": 6}]"
"एक और धोबी.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0927"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u092c"", ""value"": ""hi"", ""index"": 5}, {""key"": ""."", ""value"": ""hi"", ""index"": 6}]"
"एक और चमार.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u091a\u092e"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 5}, {""key"": ""."", ""value"": ""hi"", ""index"": 6}]"
"एक और भांगी.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092d"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 5}, {""key"": ""."", ""value"": ""hi"", ""index"": 6}]"
"एक और फ़ाकिस्तानी.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u095e"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 8}, {""key"": ""."", ""value"": ""hi"", ""index"": 9}]"
"एक और पाकी.","[{""key"": ""\u090f\u0915"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0914\u0930"", ""value"": ""hi"", ""index"": 2}, {""key"": "" "", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u092a"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 5}, {""key"": ""."", ""value"": ""hi"", ""index"": 6}]"
